Bus,Voltage(pu),Angle(deg),Pinj(MW),Qinj(MVAR)
1,1.0,0.0,235.16459159433305,-44.629594571618995
2,1.0,-5.909999675172756,18.299998480997793,51.2893998258579
3,1.0,-14.888631810585034,-94.19999938111525,50.02251333221572
4,0.9655650387850682,-11.595185212195766,-47.799993753810135,3.900002867458041
5,0.9651229819157041,-9.90338075327523,-7.600003901445112,-1.5999855383508788
6,1.0,-16.26901254952895,-11.199996778935573,8.563176153419683
7,0.979533738829493,-14.974060174653191,4.367017858442068e-07,7.891136633020324e-07
8,1.0,-14.974060174653191,0.0,11.618655220270746
9,0.9640632152361737,-16.79362332242423,-29.49999773406966,-16.599998410930183
10,0.9622977926772207,-17.026889306684467,-8.999999507601352,-5.800000058358457
11,0.9770988610772536,-16.785002455658383,-3.499999997993708,-1.7999999911751274
12,0.9824936294236789,-17.247027445902663,-6.099999997469352,-1.5999999999607883
13,0.9758221269122368,-17.299384863483404,-13.500000140415501,-5.799999893772334
14,0.9495435179840302,-18.197035549581692,-14.8999990918667,-5.000000088827061
